15.06.2021 15:36:33.076 0 DEBUG    0x000027e4 HttpConnectionHandler (0x1c9140): handle new connection
15.06.2021 15:37:11.252 0 DEBUG    0x000027e4 HttpRequest: from ::1: GET /login?username=test&password=wrong HTTP/1.1
15.06.2021 15:37:11.252 0 DEBUG    0x000027e4 HttpConnectionHandler (0x1c9140): received request
15.06.2021 15:37:11.252 0 DEBUG    0x000027e4 RequestMapper: path=/login
15.06.2021 15:37:11.252 0 DEBUG    0x000027e4 HttpSessionStore: received invalid session cookie with ID {e3fca77b-9694-4fe7-aaca-8e2cf398725a}
15.06.2021 15:37:11.252 0 DEBUG    0x000027e4 HttpSessionStore: received invalid session cookie with ID {e3fca77b-9694-4fe7-aaca-8e2cf398725a}
15.06.2021 15:37:11.253 0 DEBUG    0x000027e4 HttpSessionStore: create new session with ID {3ff790c0-16aa-4b05-a142-be7cab0493e5}
15.06.2021 15:37:11.253 0 DEBUG    0x000027e4 username=test
15.06.2021 15:37:11.253 0 DEBUG    0x000027e4 password=wrong
15.06.2021 15:37:11.253 2 CRITICAL 0x000027e4 Login failed!
15.06.2021 15:38:56.118 0 DEBUG    0x00002448 QtWebApp has version 1.8.3
15.06.2021 15:38:56.118 0 DEBUG    0x00002448 HttpSessionStore: Sessions expire after 3600000 milliseconds
15.06.2021 15:38:56.119 0 DEBUG    0x00002448 StaticFileController: docroot=C:/Users/Lenovo/Documents/qt/MyFirstWebApp/docroot, encoding=UTF-8, maxAge=90000
15.06.2021 15:38:56.119 0 DEBUG    0x00002448 StaticFileController: cache timeout=60000, size=1000000
15.06.2021 15:38:56.119 0 DEBUG    0x00002448 TemplateLoader: path=C:/Users/Lenovo/Documents/qt/MyFirstWebApp/docroot, codec=UTF-8
15.06.2021 15:38:56.119 0 DEBUG    0x00002448 TemplateCache: timeout=60000, size=1000000
15.06.2021 15:38:56.155 0 DEBUG    0x00002448 HttpListener: Listening on port 8080
15.06.2021 15:39:03.515 0 DEBUG    0x00002448 HttpConnectionHandler (0x819200): thread started
15.06.2021 15:39:03.515 0 DEBUG    0x00002448 HttpConnectionHandler (0x819200): constructed
15.06.2021 15:39:03.554 0 DEBUG    0x0000303c HttpConnectionHandler (0x819200): handle new connection
15.06.2021 15:39:06.465 0 DEBUG    0x00002448 HttpConnectionHandler (0x819320): thread started
15.06.2021 15:39:06.465 0 DEBUG    0x00002448 HttpConnectionHandler (0x819320): constructed
